# IEEE OUI Database - Common vendors for Indian campus environments
# Format: XX:XX:XX,Vendor Name
# Source: IEEE Standards Association (https://standards-oui.ieee.org)
# Last updated: 2025
#
# Apple
00:1C:B3,Apple Inc.
00:1D:4F,Apple Inc.
00:1E:52,Apple Inc.
00:1F:5B,Apple Inc.
00:1F:F3,Apple Inc.
00:21:E9,Apple Inc.
00:22:41,Apple Inc.
00:23:12,Apple Inc.
00:23:32,Apple Inc.
00:23:6C,Apple Inc.
00:23:DF,Apple Inc.
00:24:36,Apple Inc.
00:25:00,Apple Inc.
00:25:4B,Apple Inc.
00:25:BC,Apple Inc.
00:26:08,Apple Inc.
00:26:4A,Apple Inc.
00:26:B0,Apple Inc.
00:26:BB,Apple Inc.
00:3E:E1,Apple Inc.
00:50:E4,Apple Inc.
00:56:CD,Apple Inc.
00:61:71,Apple Inc.
00:88:65,Apple Inc.
00:A0:40,Apple Inc.
00:B3:62,Apple Inc.
00:C6:10,Apple Inc.
00:CD:FE,Apple Inc.
00:DB:70,Apple Inc.
00:F4:B9,Apple Inc.
00:F7:6F,Apple Inc.
04:0C:CE,Apple Inc.
04:15:52,Apple Inc.
04:26:65,Apple Inc.
04:48:9A,Apple Inc.
04:4B:ED,Apple Inc.
04:52:F3,Apple Inc.
04:D3:CF,Apple Inc.
04:DB:56,Apple Inc.
04:E5:36,Apple Inc.
04:F1:28,Apple Inc.
04:F7:E4,Apple Inc.
08:00:07,Apple Inc.
08:66:98,Apple Inc.
08:6D:41,Apple Inc.
0C:30:21,Apple Inc.
0C:4D:E9,Apple Inc.
0C:74:C2,Apple Inc.
0C:BC:9F,Apple Inc.
10:40:F3,Apple Inc.
10:9A:DD,Apple Inc.
10:DD:B1,Apple Inc.
14:10:9F,Apple Inc.
14:20:5E,Apple Inc.
14:5A:05,Apple Inc.
14:99:E2,Apple Inc.
14:BD:61,Apple Inc.
18:20:32,Apple Inc.
18:34:51,Apple Inc.
18:65:90,Apple Inc.
